metric_name,precision,recall,f1
request_count_1,0.6842105263157895,1.0,0.8125000000000001
request_count_2,0.5,1.0,0.6666666666666666
request_count_3,0.2727272727272727,1.0,0.42857142857142855
request_count_4,0.5333333333333333,0.7272727272727273,0.6153846153846153
request_count_5,0.5,1.0,0.6666666666666666
request_count_6,0.36363636363636365,1.0,0.5333333333333333
request_count_7,0.6842105263157895,0.7647058823529411,0.7222222222222222
request_count_8,0.4,1.0,0.5714285714285715
request_count_9,0.45454545454545453,0.5,0.47619047619047616
request_count_10,0.7692307692307693,1.0,0.8695652173913044
request_count_11,0.3333333333333333,0.42857142857142855,0.375
request_count_12,0.5333333333333333,1.0,0.6956521739130436
request_count_13,0.5333333333333333,1.0,0.6956521739130436
request_count_14,0.36363636363636365,1.0,0.5333333333333333
request_count_15,1.0,1.0,1.0
request_count_16,0.3,0.3,0.3
request_count_17,0.6,1.0,0.7499999999999999
request_count_18,0.2727272727272727,1.0,0.42857142857142855
request_count_19,0.4166666666666667,0.4166666666666667,0.4166666666666667
request_count_20,0.7142857142857143,0.7142857142857143,0.7142857142857143
request_count_21,0.5555555555555556,1.0,0.7142857142857143
request_count_22,0.42857142857142855,0.6,0.5
request_count_23,0.7142857142857143,1.0,0.8333333333333333
request_count_24,0.2727272727272727,0.42857142857142855,0.33333333333333326
request_count_25,0.3,1.0,0.4615384615384615
request_count_26,0.5714285714285714,1.0,0.7272727272727273
request_count_27,0.6842105263157895,1.0,0.8125000000000001
request_count_28,0.375,0.6,0.4615384615384615
request_count_29,0.6428571428571429,0.75,0.6923076923076924
request_count_30,0.3333333333333333,0.375,0.35294117647058826
request_count_31,0.45454545454545453,0.35714285714285715,0.4
request_count_32,0.7142857142857143,1.0,0.8333333333333333
request_count_33,0.5,0.5555555555555556,0.5263157894736842
request_count_34,0.5,0.5833333333333334,0.5384615384615384
request_count_35,0.5,0.4166666666666667,0.45454545454545453
request_count_36,0.42857142857142855,1.0,0.6
request_count_37,0.5333333333333333,1.0,0.6956521739130436
request_count_38,0.5555555555555556,0.38461538461538464,0.4545454545454546
request_count_39,0.5714285714285714,0.7272727272727273,0.64
request_count_40,0.4666666666666667,1.0,0.6363636363636364
request_count_41,0.5714285714285714,0.6153846153846154,0.5925925925925927
request_count_42,0.5,0.5833333333333334,0.5384615384615384
request_count_43,0.45454545454545453,0.5555555555555556,0.5
request_count_44,0.5714285714285714,0.5714285714285714,0.5714285714285714
request_count_45,0.3333333333333333,0.25,0.28571428571428575
request_count_46,0.3333333333333333,0.2727272727272727,0.3
request_count_47,0.3333333333333333,0.42857142857142855,0.375
request_count_48,0.3333333333333333,0.375,0.35294117647058826
request_count_49,0.21428571428571427,1.0,0.35294117647058826
request_count_50,0.4,0.4444444444444444,0.4210526315789474
